School Number,School Name,LA Code,Local Authority,Sector,Governance - see notes,WM Code,Welsh Medium Type - see notes,School Type,Religious Character,Address 1,Address 2,Address 3,Address 4,Postcode,Phone Number,Pupils - see notes
6602130.0,Ysgol Gynradd Amlwch,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Amlwch,Ynys Môn,,,LL68 9DU,01407 830414,279.0
6602131.0,Ysgol Gynradd Beaumaris,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Maeshyfryd,Beaumaris,Ynys Môn,,LL58 8HL,01248 810451,48.0
6602132.0,Ysgol Gynradd Bodedern,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Bodedern,Caergybi,Ynys Môn,,LL65 3TZ,01407 740201,95.0
6602133.0,Ysgol Gymuned Bodffordd,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Bodffordd,Llangefni,Ynys Môn,,LL77 7LZ,01248 723384,80.0
6602135.0,Ysgol Gymuned Bryngwran,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Bryngwran,Caergybi,Ynys Môn,,LL65 3PP,01407 720400,56.0
6602136.0,Ysgol Gynradd Brynsiencyn,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Brynsiencyn,Llanfairpwll,Ynys Môn,,LL61 6HZ,01248 430457,46.0
6602138.0,Ysgol Cemaes,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Cemaes,Ynys Môn,,,LL67 0LB,01407 710225,77.0
6602140.0,Ysgol Esceifiog,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Y Gaerwen,Ynys Môn,,,LL60 6DD,01248 421669,157.0
6602141.0,Ysgol Gynradd Garreglefn,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Garreglefn,Amlwch,Ynys Môn,,LL68 0PH,01407 710508,15.0
6602142.0,Ysgol Gymuned Y Ffridd,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Gwalchmai,Caergybi,Ynys Môn,,LL65 4SG,01407 720477,103.0
6602145.0,Ysgol Gymuned Moelfre,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Moelfre,Ynys Môn,,,LL72 8NA,01248 410546,70.0
6602146.0,Ysgol Gynradd Llanbedrgoch,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanbedrgoch,Ynys Môn,,,LL76 8SX,01248 450291,27.0
6602152.0,Ysgol Gynradd Llanfairpwll,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Llanfairpwll,Ynys Môn,,,LL61 5TX,01248 714478,345.0
6602153.0,Ysgol Gymuned Llanfechell,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanfechell,Amlwch,Ynys Môn,,LL68 0SA,01407 710512,70.0
6602154.0,Ysgol Y Graig,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Ffordd Colleg,Lon Talwrn,Llangefni,Ynys Môn,LL77 7LP,01248 723092,377.0
6602155.0,Ysgol Gynradd Llangoed,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llangoed,Beaumaris,Ynys Môn,,LL58 8LU,01248 490680,76.0
6602156.0,Ysgol Henblas,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,Infants & Juniors,---,Llangristiolus,Bodorgan,Ynys Môn,,LL62 5DR,01248 723944,98.0
6602157.0,Ysgol Gymuned Llannerch-Y-Medd,660.0,Isle of Anglesey,Primary,Community,WM,Welsh medium,"Nursery, Infants & Juniors",---,Llanerchymedd,Ynys Môn,,,LL71 8DP,01248 470466,147.0
