School_code,School_name,Local_authority,Consortium,Rating,School Name,LA Code,Local Authority,Sector,Governance - see notes,WM Code,Welsh Medium Type - see notes,School Type,Religious Character,Address 1,Address 2,Address 3,Address 4,Postcode,Phone Number,Pupils - see notes
6604025,Ysgol Syr Thomas Jones,Isle of Anglesey / Sir Ynys Môn,GwE / GwE,Yellow/Melyn,Ysgol Syr Thomas Jones,660.0,Isle of Anglesey,Secondary,Community,BB,Bilingual (Type B),Secondary (ages 11-19),---,Pentrefelin,Amlwch,Ynys Mon,,LL68 9TH,01407 830287,507.0
6604026,Ysgol Uwchradd Caergybi,Isle of Anglesey / Sir Ynys Môn,GwE / GwE,Yellow/Melyn,Ysgol Uwchradd Caergybi,660.0,Isle of Anglesey,Secondary,Community,EW,English with significant Welsh,Secondary (ages 11-19),---,Caergybi,Ynys Môn,,,LL65 1NP,01407 762219,816.0
6604027,Ysgol Gyfun Llangefni,Isle of Anglesey / Sir Ynys Môn,GwE / GwE,Green/Gwyrdd,Ysgol Gyfun Llangefni,660.0,Isle of Anglesey,Secondary,Community,BB,Bilingual (Type B),Secondary (ages 11-19),---,Llangefni,Ynys Môn,,,LL77 7NG,01248 723441,654.0
6604028,Ysgol David Hughes,Isle of Anglesey / Sir Ynys Môn,GwE / GwE,Yellow/Melyn,Ysgol David Hughes,660.0,Isle of Anglesey,Secondary,Community,BB,Bilingual (Type B),Secondary (ages 11-19),---,Ffordd Pentraeth,Porthaethwy,Ynys Môn,,LL59 5SS,01248 712287,1068.0
6604029,Ysgol Uwchradd Bodedern,Isle of Anglesey / Sir Ynys Môn,GwE / GwE,Red/Coch,Ysgol Uwchradd Bodedern,660.0,Isle of Anglesey,Secondary,Community,BB,Bilingual (Type B),Secondary (ages 11-19),---,Bro Alaw,Bodedern,Caergybi,Ynys Môn,LL65 3TL,01407 741000,703.0
6614002,Ysgol Dyffryn Ogwen Bethesda,Gwynedd / Gwynedd,GwE / GwE,Red/Coch,Ysgol Dyffryn Ogwen Bethesda,661.0,Gwynedd,Secondary,Community,AB,Bilingual (Type A),Secondary (ages 11-19),---,Ffordd Coetmor,Bethesda,Gwynedd,,LL57 3NN,01248 600291,462.0
6614003,Ysgol Botwnnog,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,Ysgol Botwnnog,661.0,Gwynedd,Secondary,Community,AB,Bilingual (Type A),Secondary (ages 11-16),---,Botwnnog,Llyn,Gwynedd,,LL53 8PY,01758 730220,445.0
6614004,Ysgol Brynrefail,Gwynedd / Gwynedd,GwE / GwE,Green/Gwyrdd,Ysgol Brynrefail,661.0,Gwynedd,Secondary,Community,AB,Bilingual (Type A),Secondary (ages 11-19),---,Llanrug,Caernarfon,Gwynedd,,LL55 4AD,01286 672381,742.0
6614007,Ysgol Dyffryn Nantlle,Gwynedd / Gwynedd,GwE / GwE,Red/Coch,Ysgol Dyffryn Nantlle,661.0,Gwynedd,Secondary,Community,AB,Bilingual (Type A),Secondary (ages 11-19),---,Ffordd Y Brenin,Penygroes,Gwynedd,,LL54 6AA,01286 880345,415.0
6614009,YSGOL EIFIONYDD,Gwynedd / Gwynedd,GwE / GwE,Yellow/Melyn,Ysgol Eifionydd,661.0,Gwynedd,Secondary,Community,AB,Bilingual (Type A),Secondary (ages 11-16),---,Porthmadog,Gwynedd,,,LL49 9HS,01766 512114,381.0
