Town,Population
Cardiff,447287
Newport,306844
Swansea,300352
Wrexham,65692
Tonypandy,62545
Bridgend,58380
Barry,54673
Llanelli,49591
Cwmbran,46915
Rhyl/Prestatyn,46267
Merthyr Tydfil,43820
Caerphilly,41402
Colwyn Bay,34284
Ebbw Vale/Brynmawr/Nantyglo,33068
Aberdare,31135
Pontypridd,30457
Penarth,27226
Flint,26442
Rhosllanerchrugog,25362
Blackwood,24042
Ammanford,23709
Church Village/Llantwit Fardre,23277
Maesteg,21001
Gorseinon,20581
Neath,19258
Ystrad Mynach,19204
Aberystwyth,18749
Kinmel Bay/Abergele,18705
Bangor,17988
Connah's Quay,16774
Chepstow,16169
Carmarthen,15854
Porthcawl,15672
Llandudno,15371
Risca,14958
Tredegar,14855
Abergavenny,14651
"Ely, Cardiff",14603
Haverfordwest,14596
Llantrisant,14422
Llantwit Major,14384
Pyle,13701
Milford Haven,13582
Splott,13261
Treharris,12352
Bargoed,11900
Holyhead,11431
Newtown,11357
Mountain Ash,11230
Cil-y-coed,11200
Bryn Pydew,11109
Llanrumney,11060
Abertillery,10946
Bedwas,10758
Monmouth,10110
Mold,10058
Pembroke Dock,9753
Caernarfon,9730
"Newbridge, Caerphilly",9590
Tonyrefail,9317
Pencoed,9166
Pontarddulais,9073
Llandaff,8997
Caerleon,8747
Rhymney,8537
Denbigh,8514
Burry Port,8310
Brecon,8250
Pembroke,7552
Ferndale,7338
Hirwaun,7247
Brynna,6686
Abertridwr,6504
Radyr,6417
Rhoose,6160
Abercynon,5983
Broughton,5974
Welshpool,5948
Undy,5914
Coedpoeth,5723
Gwaun-Cae-Gurwen/Brynamman,5692
Blaenavon,5647
Ogmore Vale/Nantymoel,5461
Ruthin,5461
Glyn-neath,5419
Cwmavon,5336
Llandrindod Wells,5309
Cardigan,5301
Gresford,5010
New Tredegar,4966
Menai Bridge,4958
Llangefni,4864
Bethesda,4735
Hope,4706
Tenby,4696
Llay,4681
Gilfach Goch,4395
Glanaman,4384
Pontycymer,4288
Pwllheli,4076
Glyncoch,4020
Conwy,3873
Cowbridge,3804
Llanbradach,3746
Rhuddlan,3709
Neyland,3708
Blaenau Ffestiniog,3662
Llanfairfechan,3637
Penyffordd,3554
Aberfan,3547
Ynysybwl,3503
Murton,3500
Llangollen,3466
Fishguard,3419
Saundersfoot,3361
St Asaph,3355
Llanrwst,3323
Amlwch,3211
Maerdy,3160
Llanfair Pwllgwyngyll,3107
Tywyn,3097
Marshfield,3054
Llanharry,3035
Llanhilleth,2990
Porthmadog,2981
Lampeter,2970
Llanidloes,2929
Usk,2834
Builth Wells,2829
Llandybie,2813
Kidwelly,2782
Cwm,2739
Talbot Green,2734
Dolgellau,2688
Llanddulas/Mynydd Marian,2674
St Clears,2663
Penmaenmawr,2535
Creigiau,2380
Machen,2362
Valley,2361
Cwmfelinfach/Ynysddu,2342
Barmouth,2315
Pentyrch,2287
Y Felinheli,2284
Leeswood,2282
Narberth,2265
Gilwern,2263
Benllech,2236
Bettws,2253
Machynlleth,2235
Seven Sisters,2123
Tanyfron,2090
Resolven,2068
Llandovery,2065
Crickhowell,2063
Southgate,2004
Underwood,1976
Bala,1974
Kilgetty,1968
Johnston,1941
Pen-clawdd,1935
Llanrug,1916
Newcastle Emlyn,1883
Llanberis,1844
Rhayader,1824
Rogiet,1813
Llandeilo,1795
Bodelwyddan,1794
Penygroes,1793
Harlech,1762
Criccieth,1753
Llansanffraid Glan Conwy,1735
Gwernaffield-y-Waun/Pantymwyn,1734
Goodwick,1720
Soughton,1710
Higher Kinnerton,1697
Pontyberem,1695
Aberporth,1648
Pontlliw,1645
Mostyn,1606
Crynant,1602
Trimsaran,1584
Three Crosses,1583
Bow Street,1572
Waunlwyd,1556
Gaerwen,1551
Penrhyndeudraeth,1546
Pen-twyn (Caerphilly),1540
Talybont (Gwynedd),1540
Trearddur,1537
Whitland,1514
"Pont Rhyd-y-cyff, Llangynwyd]]",1505
Markham,1495
Llandysul,1484
Pontyates,1449
Govilon,1447
Four Crosses,1438
Aberaeron,1422
St Davids,1408
Cwmllynfell,1405
