Town,Population,Latitude,Longitude
Neath,19258,51.66423030200008,-3.8034041079999383
Ystrad Mynach,19204,51.64125786400007,-3.2363279789999524
Aberystwyth,18749,52.41500763700003,-4.083684649999952
Kinmel Bay/Abergele,18705,53.29875359234989,-3.5335724669705875
Bangor,17988,53.22797356500007,-4.128213638999966
Connah's Quay,16774,53.21840566000003,-3.054964512999959
Chepstow,16169,51.64087983700006,-2.6767480009999645
Carmarthen,15854,51.856466511000065,-4.305764889999978
Porthcawl,15672,51.47912504400006,-3.7031927869999777
Llandudno,15371,53.324016277000055,-3.830439493999961
Risca,14958,51.61356920600008,-3.104058506999934
Tredegar,14855,51.77325664800003,-3.2465704309999524
Abergavenny,14651,51.821949577000055,-3.0183888529999763
"Ely, Cardiff",14603,51.48006699900003,-3.2457446459999346
Haverfordwest,14596,51.80366215500004,-4.969761343999949
Llantrisant,14422,51.54230394000007,-3.374330805999932
Llantwit Major,14384,51.40844004100006,-3.4852977269999315
Pyle,13701,51.57552548100006,-4.049581064999927
Milford Haven,13582,51.713089869000044,-5.036013084999979
Splott,13261,51.48450702100007,-3.154613827999981
Treharris,12352,51.66403900000006,-3.3041707789999464
Bargoed,11900,51.69117892000003,-3.2295716699999275
Holyhead,11431,53.312820497000075,-4.6328243349999525
Newtown,11357,52.515109779000056,-3.3150292429999695
Mountain Ash,11230,51.684123406000026,-3.3784630009999432
Cil-y-coed,11200,51.591785608000066,-2.7505903489999355
Bryn Pydew,11109,53.29839973000003,-3.7844307009999625
Llanrumney,11060,51.51678190400003,-3.1312184469999806
Abertillery,10946,51.73037373000005,-3.13386417199996
Bedwas,10758,51.59136897700006,-3.199215575999972
Monmouth,10110,51.81312177400008,-2.711410523999973
Mold,10058,53.16770947300006,-3.1422644199999468
Pembroke Dock,9753,51.69366249700005,-4.939873761999934
Caernarfon,9730,53.14077378700006,-4.275946913999974
"Newbridge, Caerphilly",9590,51.66423654000005,-3.1471196359999567
Tonyrefail,9317,51.58387008200003,-3.4304327649999777
Pencoed,9166,51.52377512500004,-3.5002488069999345
Pontarddulais,9073,51.71367700700006,-4.038872565999952
Llandaff,8997,51.494373421000034,-3.2304328029999283
Caerleon,8747,51.61007848500003,-2.9556134559999805
Rhymney,8537,51.76218500600004,-3.2868534769999656
Denbigh,8514,53.183313757000064,-3.420564097999943
Burry Port,8310,51.68449983900007,-4.246668474999979
Brecon,8250,51.947629816000074,-3.391692189999958
Pembroke,7552,51.675012612000046,-4.913740935999954
Ferndale,7338,51.66177190700006,-3.4483835719999547
Hirwaun,7247,51.739228265000065,-3.4985819549999633
Brynna,6686,51.538626382000075,-3.46357790299993
Abertridwr,6504,51.59612998800003,-3.2713554269999463
Radyr,6417,51.51483418000004,-3.251305092999928
Rhoose,6160,51.38835783700006,-3.354132833999927
Abercynon,5983,51.64611492600005,-3.328501439999968
Broughton,5974,53.16321653400007,-2.9915680879999513
Welshpool,5948,52.660648663000075,-3.1497093119999704
Undy,5914,51.57526000000007,-2.814529999999934
Coedpoeth,5723,53.05258932600003,-3.068843155999957
Gwaun-Cae-Gurwen/Brynamman,5692,51.790659375000075,-3.8821370989999764
Blaenavon,5647,51.775768880000044,-3.0837773889999767
Ogmore Vale/Nantymoel,5461,51.623653258495494,-3.539781898162561
Ruthin,5461,53.11440330800008,-3.3104598979999764
Glyn-neath,5419,51.74633407700003,-3.6216711219999524
Cwmavon,5336,51.75134158600008,-3.0618100209999284
Llandrindod Wells,5309,52.241242416000034,-3.377777465999941
Cardigan,5301,52.08360016800003,-4.660874136999951
Gresford,5010,53.08509779600007,-2.9721834009999384
